TARGETID,K_R,K_R_ERR,Z
39627601072882676,,inf,2.352620825217679
39627601068693830,,inf,2.3251781787898333
39627607070741627,,inf,2.354910618253129
39627703254518008,,inf,2.3537447701670686
39627685151901248,,inf,2.3484905969017045
39627691187507415,,inf,2.3190391414333016
39627589303670013,,inf,2.665845700745926
39627817972928034,,inf,2.5394498661207794
39627634606349284,,inf,2.6924508179103053
39627634526651529,,inf,2.77078627109323
39627712817536604,,inf,2.7321529474438226
39627773232291204,,inf,2.3864165798916575
39627586673836302,,inf,2.410867895422538
39627580675987791,,inf,2.6818025613355894
39627718911852719,,inf,2.3046487281818853
39627580571124821,,inf,2.7740525833905756
39627586493483771,,inf,2.728912364858539
39627815603145201,,inf,2.6582890034762596
39627785408355613,,inf,2.310838887509726
39627791548813595,,inf,2.6439336070607937
39627538829415837,,inf,2.4675624031848393
39627538829410420,,inf,2.4424880378610268
39627544797911436,,inf,2.4981226394443743
39627942170463934,,inf,2.5220123837798214
39627930162168128,,inf,2.6874447684365403
39627646656582611,,inf,2.734487436897607
39627646660773669,,inf,2.3935019376791966
39627646652389477,,inf,2.7100709718789777
39627646660776856,,inf,2.4477174629116587
39627652675408342,,inf,2.677849154157059
39627658681651346,,inf,2.741743429694332
39627652667016497,,inf,2.4154874870040963
39627527047615875,,inf,2.3264881563056963
39627533011916228,,inf,2.4692677281150295
39627923971375224,,inf,2.412141219180259
39627917952552901,,inf,2.7159268515772497
39627966069608397,,inf,2.334469881004876
39627966073800887,,inf,2.537523211510449
39627978061123063,,inf,2.3420301022252485
39627972075848003,,inf,2.5440799907338683
39627966065411719,,inf,2.366853533777218
39627966061218999,,inf,2.38197189292044
39627839514870592,,inf,2.407354900882286
39627839510682478,,inf,2.301537906325094
39627779087538252,,inf,2.413980427811024
39627845701471303,,inf,2.6039546843305064
39627765992923872,,inf,2.4440386637168348
39627765976142656,,inf,2.4610050996782387
39627772020139440,,inf,2.699457897396964
39627765976138566,,inf,2.354445192131797
39627935023370862,,inf,2.6862450324371085
39627796137383890,,inf,2.776351839006335
39627880598080135,,inf,2.564702063328007
