Targetid,mag_g,magerr_g,mag_r,magerr_r,mag_i,magerr_i
39628328860124012,21.06725,-0.02014337719231162,20.905954,-0.019816451523638395,20.607435,-0.07289664027882514
39628328860125837,21.090458,-0.018447761820980617,20.740131,-0.015323003361210263,20.583633,-0.055922442904391634
39628328860126262,20.73553,-0.012485832553376616,20.548937,-0.013065447792725126,20.246834,-0.034232629283473724
39628328860126543,20.6085,-0.011951631333715502,20.516298,-0.012669587416770378,20.468004,-0.04178645238454757
39628328864321325,20.372456,-0.009387499050128378,20.17296,-0.008956242698783203,20.221943,-0.033235426643908564
39628328868513547,19.413723,-0.004272102853271995,19.295868,-0.0040553933602817775,19.319054,-0.016010000163181676
39628328876902388,20.91255,-0.017444920041221317,20.404236,-0.013033103194134418,20.480556,-0.044847418436552225
39628328876903964,21.046864,-0.018806305829850548,20.469654,-0.012114444822168982,20.045635,-0.027908630728908056
39628328881094731,21.2294,-0.021797106180573463,21.181301,-0.0279975538735374,20.969793,-0.1509014620078934
39628328881097273,20.09291,-0.007789033146198463,20.078232,-0.008057540967324353,19.934402,-0.02715365465361086
39628334400799224,19.497187,-0.004839955405403764,19.516651,-0.005553845750246265,19.429323,-0.01850371438439715
39628334400801484,21.315075,-0.024362724899276562,20.850037,-0.018835466229534224,20.618574,-0.05775984904802835
39628334409192657,20.405666,-0.021283090408593244,19.943409,-0.017952959364394495,19.401257,-0.05003709869800732
39628334413382191,21.043022,-0.017690528374360182,21.139248,-0.025918142636091584,21.144264,-0.11028200134623396
39628334413382200,19.72154,-0.006067105216028876,19.645733,-0.006330667079297475,19.47329,-0.020317205343704563
39628334413384344,21.3885,-0.0261476038446782,21.152306,-0.026344004847222564,20.93608,-0.10351144245700442
39628334413385895,17.745049,-0.0014676771236244923,17.452229,-0.0011847787448788943,17.442146,-0.004016991737019307
39628334413386093,20.826397,-0.01500943148094704,20.718391,-0.015513274533006197,20.558033,-0.05357389117305082
39628334421775013,18.661533,-0.0025839719811383013,18.426716,-0.0022075429042603383,18.443958,-0.008488158622131698
39628334425968223,19.401186,-0.004195324174505003,19.020294,-0.003230516472135873,18.964731,-0.011782313194078537
39628334425968327,21.55658,-0.041452722637460956,21.316557,-0.037331473585251414,20.684717,-0.10834382439928303
39628334425968883,20.44283,-0.010651924469994032,20.335266,-0.011091462869204108,20.119423,-0.031164677187294022
39628334430162949,21.565033,-0.051119415841018985,21.289833,-0.039716061068981845,20.905773,-0.13868756788857473
39628334434357639,19.167086,-0.0035344486373130512,18.585323,-0.002302838685273026,18.130993,-0.006253334623235023
39628334442744986,19.65583,-0.005422204041753193,19.550606,-0.005059178808204775,19.780958,-0.023177686365941634
39628339966644867,19.764584,-0.005628318728523839,19.604801,-0.005379439561727805,19.334896,-0.015654085406568093
